condition,num_tasks,tool_selection_accuracy,tool_selection_accuracy_ci_low,tool_selection_accuracy_ci_high,joint_exact_match_rate,joint_exact_match_ci_low,joint_exact_match_ci_high,avg_argument_validity,avg_required_argument_recall,gold_tool_hit_rate,avg_gold_tool_rank
raw_mcp,15,0.7333,0.4667,0.9333,0.5333,0.2667,0.7333,0.6444,0.7,0.8667,1.1538
schema_only,15,0.7333,0.4667,0.9333,0.5333,0.2667,0.7333,0.6444,0.7,0.8667,1.1538
retrieved_docs,15,0.7333,0.5333,0.9333,0.4667,0.2,0.7333,0.6222,0.6667,0.9333,1.4286
retrieved_candidates,15,0.9333,0.8,1.0,0.6,0.3333,0.8667,0.8333,0.8333,1.0,1.0667
retrieved_memory,15,0.8667,0.6667,1.0,0.7333,0.5333,0.9333,0.8333,0.8667,1.0,1.2
autoskill_base,15,0.9333,0.8,1.0,0.9333,0.8,1.0,0.9333,0.9333,1.0,1.0667
